CCLE_cell_line_names,GDSC_cell_line_names,CTRP_cell_line_names,Consensus_cell_line_names
,LU-134-A,,LU134A
,LU-135,,LU135
,LU-139,,LU139
,LU-165,,LU165
,LU-65,LU65,LU65
LU99_LUNG,,LU99,LU99
,LU-99A,,LU99A
,LXF-289,LXF289,LXF289
LUDLU1_LUNG,,LUDLU1,LUDLU1
M059J,M059J,,M059J
MALME3M_SKIN,,MALME3M,MALME3M
MB157_BREAST,,,MB157
,M14,,M14
,MC-CAR,,MCCAR
,MC-IXC,,MCIXC
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MC116,MC116,MC116
MCAS_OVARY,,MCAS,MCAS
MCF7_BREAST,MCF7,MCF7,MCF7
,MDA-MB-134-VI,,MDAMB134VI
MDAMB157_BREAST,MDA-MB-157,MDAMB157,MDAMB157
MDAMB175VII_BREAST,MDA-MB-175-VII,,MDAMB175VII
,MDA-MB-231,MDAMB231,MDAMB231
,MDA-MB-361,MDAMB361,MDAMB361
MDAMB415_BREAST,MDA-MB-415,MDAMB415,MDAMB415
MDAMB435S_SKIN,,MDAMB435S,MDAMB435S
MDAMB436_BREAST,,,MDAMB436
MDAMB453_BREAST,MDA-MB-453,MDAMB453,MDAMB453
MDAMB468_BREAST,MDA-MB-468,MDAMB468,MDAMB468
,ME-180,,ME180
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,MEC1,MEC1
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MEG-01,,MEG01
MELHO_SKIN,MEL-HO,MELHO,MELHO
,MEL-JUSO,MELJUSO,MELJUSO
MESSA_SOFT_TISSUE,MES-SA,MESSA,MESSA
MEWO_SKIN,Mewo,MEWO,MEWO
MFE280_ENDOMETRIUM,MFE-280,,MFE280
MFE296_ENDOMETRIUM,MFE-296,MFE296,MFE296
,MFH-ino,,MFHino
,MFM-223,,MFM223
MFE319_ENDOMETRIUM,,MFE319,MFE319
MG63_BONE,MG-63,MG63,MG63
,MHH-CALL-2,,MHHCALL2
MHHES1_BONE,MHH-ES-1,MHHES1,MHHES1
,MHH-NB-11,MHHNB11,MHHNB11
,MHH-PREB-1,,MHHPREB1
MIAPACA2_PANCREAS,MIA-PaCa-2,MIAPACA2,MIAPACA2
,MKN1,MKN1,MKN1
,MKN28,,MKN28
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,MINO,MINO
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,MJ,MJ
MKN45_STOMACH,MKN45,MKN45,MKN45
MKN7_STOMACH,MKN7,MKN7,MKN7
MKN74_STOMACH,,MKN74,MKN74
MOGGCCM_CENTRAL_NERVOUS_SYSTEM,,,MOGGCCM
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,MOLP8
,ML-2,,ML2
,MLMA,,MLMA
,MMAC-SF,,MMACSF
,MN-60,,MN60
,Mo-T,,MoT
,MOLT-13,MOLT13,MOLT13
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLT-16,MOLT16,MOLT16
,MOLT-4,,MOLT4
,MONO-MAC-6,MONOMAC6,MONOMAC6
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,MONOMAC1,MONOMAC1
MORCPR_LUNG,,MORCPR,MORCPR
MPP89_PLEURA,MPP-89,MPP89,MPP89
,MRK-nu-1,,MRKnu1
,MS-1,,MS1
MSTO211H_PLEURA,MSTO-211H,MSTO211H,MSTO211H
,MV-4-11,MV411,MV411
,MZ1-PC,,MZ1PC
,MZ2-MEL,,MZ2MEL
,MZ7-mel,,MZ7mel
,NALM-6,NALM6,NALM6
,NB1,NB1,NB1
,NB10,,NB10
,NB12,,NB12
,NB13,,NB13
,NB14,,NB14
,NB17,,NB17
,NB5,,NB5
,NB6,,NB6
,NB69,,NB69
,NB7,,NB7
,NBsusSR,,NBsusSR
NCIH1048_LUNG,NCI-H1048,,NCIH1048
NCIH1092_LUNG,NCI-H1092,NCIH1092,NCIH1092
NCIH1155_LUNG,NCI-H1155,NCIH1155,NCIH1155
NCIH1184_LUNG,,NCIH1184,NCIH1184
,NCI-H128,,NCIH128
NCIH1299_LUNG,NCI-H1299,NCIH1299,NCIH1299
,NCI-H1304,,NCIH1304
NCIH1339_LUNG,,NCIH1339,NCIH1339
NCIH1341_LUNG,,NCIH1341,NCIH1341
NCIH1355_LUNG,NCI-H1355,NCIH1355,NCIH1355
,NCI-H1395,NCIH1395,NCIH1395
NCIH1373_LUNG,,NCIH1373,NCIH1373
,NCI-H1417,,NCIH1417
,NCI-H1436,,NCIH1436
,NCI-H1437,,NCIH1437
,NCI-H1522,,NCIH1522
NCIH1563_LUNG,NCI-H1563,NCIH1563,NCIH1563
NCIH1568_LUNG,,NCIH1568,NCIH1568
NCIH1573_LUNG,NCI-H1573,NCIH1573,NCIH1573
NCIH1581_LUNG,NCI-H1581,NCIH1581,NCIH1581
,NCI-H1618,,NCIH1618
,NCI-H1623,NCIH1623,NCIH1623
NCIH1648_LUNG,NCI-H1648,,NCIH1648
NCIH1650_LUNG,NCI-H1650,NCIH1650,NCIH1650
NCIH1651_LUNG,NCI-H1651,NCIH1651,NCIH1651
NCIH1666_LUNG,NCI-H1666,NCIH1666,NCIH1666
NCIH1693_LUNG,NCI-H1693,NCIH1693,NCIH1693
NCIH1694_LUNG,NCI-H1694,NCIH1694,NCIH1694
NCIH1703_LUNG,NCI-H1703,NCIH1703,NCIH1703
,NCI-H1734,NCIH1734,NCIH1734
,NCI-H1755,NCIH1755,NCIH1755
,NCI-H1770,,NCIH1770
NCIH1792_LUNG,NCI-H1792,NCIH1792,NCIH1792
